"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"277" "M" "25-29" 1.110555552 5.25611112 3.377222232 9.865833336
"278" "F" "PRO" 0.919166664 5.451944448 3.41388888 9.866388888
"279" "M" "35-39" 1.013333328 5.23361112 3.521111112 9.868055544
"280" "M" "40-44" 1.022500008 5.227222224 3.546388896 9.871944456
"281" "M" "30-34" 1.073611104 5.069166672 3.61361112 9.875555544
"282" "M" "25-29" 1.043055552 5.079166656 3.662500008 9.878611104
"283" "M" "35-39" 1.065277776 5.27388888 3.39305556 9.87888888
"284" "M" "30-34" 0.976666656 5.210277768 3.584166672 9.880000008
"285" "M" "45-49" 1.091388888 5.198611104 3.480277776 9.880833336
"286" "M" "30-34" 1.250555544 5.288055552 3.228611112 9.882222216
"287" "F" "PRO" 1.10694444 5.345555544 3.350277768 9.882777768
"288" "M" "40-44" 1.042222224 5.168333328 3.586666656 9.884722224
"289" "M" "35-39" 1.073333328 5.132222232 3.540555552 9.885
"290" "M" "25-29" 1.060277784 5.037499992 3.662777784 9.887777784
"291" "F" "35-39" 0.969722232 5.528333328 3.301111104 9.888333336
"292" "M" "30-34" 1.136666664 5.183333328 3.423333336 9.88944444
"293" "F" "PRO" 0.961111104 5.485277784 3.360555552 9.889999992
"294" "M" "40-44" 1.071666672 5.126388888 3.590555544 9.89111112
"295" "M" "35-39" 1.005833328 5.364444456 3.42305556 9.89388888
"296" "M" "35-39" 1.116388896 5.36861112 3.272222232 9.894166656
"297" "M" "30-34" 1.59 4.904444448 3.306388896 9.89555556
"298" "F" "30-34" 1.060000008 5.011666656 3.710277768 9.897222216
"299" "F" "25-29" 1.011944448 5.35944444 3.427222224 9.898055544
"300" "M" "40-44" 1.209444456 5.016388896 3.568333344 9.900555552
"301" "M" "30-34" 1.085833344 5.340833328 3.3675 9.901944456
"302" "M" "50-54" 1.169722224 5.13888888 3.489722232 9.902500008
"303" "M" "30-34" 1.146944448 5.207500008 3.415000008 9.90305556
"304" "M" "35-39" 1.12944444 5.358888888 3.300277776 9.904722216
"305" "M" "35-39" 1.24944444 5.174444448 3.338055552 9.913333344
"306" "M" "45-49" 1.212499992 4.832777784 3.7275 9.915277776
"307" "M" "40-44" 1.131666672 5.14361112 3.520833336 9.916666656
"308" "M" "25-29" 1.22111112 5.31611112 3.276944448 9.916944456
"309" "M" "30-34" 0.993611112 5.029166664 3.791666664 9.917500008
"310" "F" "PRO" 1.002499992 5.357500008 3.478055544 9.919722216
"311" "M" "25-29" 1.075000008 5.182222224 3.571111104 9.920277768
"312" "M" "30-34" 1.307777784 5.198611104 3.293055552 9.921388896
"313" "M" "35-39" 1.185 5.210555544 3.401388888 9.921388896
"314" "M" "35-39" 0.911666664 5.265277776 3.656666664 9.9225
"315" "M" "35-39" 0.976944456 5.247777768 3.579722232 9.9225
"316" "M" "25-29" 1.254722232 5.404999992 3.143055552 9.922777776
"317" "M" "30-34" 1.185555552 5.206944456 3.446666664 9.92694444
"318" "M" "40-44" 0.962500008 5.433611112 3.428333328 9.928888896
"319" "M" "30-34" 1.004444448 5.4975 3.337222224 9.931111104
"320" "M" "35-39" 1.087777776 5.135555544 3.598055544 9.931944456
"321" "F" "30-34" 1.133055552 5.423611104 3.29388888 9.93305556
"322" "M" "40-44" 1.187500008 5.17055556 3.446388888 9.938333328
"323" "M" "30-34" 1.157777784 5.109722232 3.543611112 9.939166656
"324" "M" "18-24" 0.926666664 5.501666664 3.406111104 9.945277776
"325" "M" "25-29" 0.940277784 5.52 3.312777768 9.947222232
"326" "M" "18-24" 0.978611112 5.327222232 3.55194444 9.95694444
"327" "M" "35-39" 1.05888888 5.43 3.337777776 9.958055544
"328" "M" "30-34" 1.201666656 5.318333328 3.309722232 9.960555552
"329" "F" "30-34" 0.937222224 5.4225 3.5175 9.962500008
"330" "M" "45-49" 1.208333328 5.135555544 3.489166656 9.965555544
"331" "M" "35-39" 0.974722224 5.20944444 3.686388888 9.966388896
"332" "M" "30-34" 0.978333336 5.276666664 3.593055552 9.969444456
"333" "M" "40-44" 1.165833336 5.414722224 3.292777776 9.969722232
"334" "M" "40-44" 1.013333328 5.35638888 3.481111104 9.971666664
"335" "M" "PRO" 0.895833336 4.851944448 4.154722224 9.978888888
"336" "M" "45-49" 1.331666664 4.995555552 3.522499992 9.97944444
"337" "M" "45-49" 1.076111112 5.211944448 3.574166664 9.980833344
"338" "M" "18-24" 0.971111112 5.410277784 3.502222224 9.981666672
"339" "M" "25-29" 1.077777768 5.172499992 3.622777776 9.984444456
"340" "M" "18-24" 0.987499992 5.280277776 3.625833336 9.989166672
"341" "M" "25-29" 0.969444456 5.283888888 3.61805556 9.989722224
"342" "M" "45-49" 1.158611112 5.275833336 3.451666656 9.991666656
"343" "M" "30-34" 1.128611112 5.37888888 3.383611104 9.995555544
"344" "M" "40-44" 1.219722216 5.301944448 3.36138888 9.998055552
"345" "M" "30-34" 0.963611112 5.546666664 3.3675 9.999166656
"346" "M" "30-34" 1.06805556 5.673888888 3.135833328 10.004166672
"347" "M" "35-39" 1.158888888 5.570277768 3.15 10.004444448
"348" "M" "40-44" 1.043333328 5.4225 3.38694444 10.007222232
"349" "M" "40-44" 0.954722232 5.43138888 3.527500008 10.007777784
"350" "M" "35-39" 1.071666672 5.235555552 3.612777768 10.009166664
"351" "M" "35-39" 0.937222224 5.31444444 3.618333336 10.010555544
"352" "M" "18-24" 0.89861112 5.461111104 3.55361112 10.01111112
"353" "M" "45-49" 1.047777768 5.298333336 3.561666672 10.014444456
"354" "F" "35-39" 1.179444456 5.491666656 3.236666664 10.015277784
"355" "M" "30-34" 1.066111104 5.507777784 3.325277784 10.015833336
"356" "M" "30-34" 1.097222232 5.516388888 3.2925 10.015833336
"357" "M" "35-39" 1.02138888 5.358333336 3.527777784 10.016388888
"358" "M" "40-44" 1.073333328 5.38638888 3.420555552 10.018055544
"359" "M" "40-44" 1.090833336 5.286388896 3.521388888 10.019166672
"360" "M" "35-39" 1.036666656 5.230833336 3.661666656 10.02305556
"361" "M" "50-54" 1.057222224 5.274722232 3.586111104 10.02444444
"362" "M" "35-39" 1.111666656 5.381666664 3.40361112 10.025277768
"363" "M" "35-39" 1.115833344 5.03111112 3.76055556 10.02611112
"364" "M" "30-34" 1.104722232 5.326666656 3.449166672 10.027222224
"365" "M" "40-44" 0.993611112 5.360555544 3.590555544 10.0275
"366" "F" "35-39" 1.155277776 5.491944456 3.273333336 10.02888888
"367" "M" "30-34" 0.980833344 5.429444448 3.492777768 10.031388888
"368" "M" "30-34" 1.117777776 5.135277768 3.683333328 10.035
"369" "F" "35-39" 1.159722216 5.327500008 3.449444448 10.037222232
"370" "M" "25-29" 1.038888888 5.261388888 3.628333344 10.039166664
"371" "M" "40-44" 1.037222232 5.328611112 3.50388888 10.0425
"372" "M" "40-44" 1.028333328 5.27555556 3.632500008 10.043333328
"373" "F" "25-29" 0.895833336 5.58138888 3.485277768 10.044444456
"374" "M" "45-49" 1.05611112 5.163611112 3.705277776 10.047222216
"375" "M" "40-44" 1.136388888 5.22305556 3.54444444 10.047777768
"376" "M" "40-44" 1.029166656 5.392222224 3.497500008 10.054722216
"377" "M" "50-54" 1.27055556 5.174444448 3.494166672 10.057222224
"378" "M" "50-54" 0.939444456 5.16138888 3.800555544 10.061666664
"379" "M" "45-49" 1.138055544 5.442222216 3.32861112 10.065
"380" "F" "PRO" 1.00194444 5.768055552 3.216666672 10.065
"381" "M" "40-44" 1.059722232 5.127222216 3.77388888 10.065555552
"382" "M" "40-44" 0.936388896 5.439722232 3.570277776 10.067777784
"383" "M" "40-44" 1.07555556 5.27555556 3.580000008 10.069166664
"384" "M" "30-34" 1.149444456 5.417222232 3.3525 10.069722216
"385" "M" "40-44" 1.161666672 5.26055556 3.525555552 10.074722232
"386" "M" "50-54" 1.080833328 5.214444456 3.624166656 10.07694444
